Partidos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Cluster
8.0;0.5;0.25;0.88;0.29;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.5;0.75;0.0;0.25;0.88;0.12;0.12;0.0;0.5;0.12;-0.88;Cluster 2
13.0;1.46;0.46;1.08;0.43;0.15;0.92;0.17;0.08;0.23;0.33;0.23;0.69;0.92;0.46;0.23;0.85;0.0;0.0;0.0;0.92;0.46;0.23;Cluster 2
25.0;0.72;0.12;0.24;0.5;0.16;1.0;0.16;0.0;0.12;0.0;0.0;0.56;0.56;0.12;0.12;0.12;0.0;0.0;0.0;0.88;0.2;-0.36;Cluster 2
6.0;1.67;0.67;1.83;0.36;0.0;0.0;0.0;0.33;0.33;1.0;0.17;0.5;0.67;0.0;0.0;0.67;0.0;0.0;0.0;0.17;0.17;0.5;Cluster 2
12.0;1.83;0.42;1.33;0.31;0.08;0.33;0.25;0.75;0.83;0.9;0.33;0.25;0.58;0.25;0.08;0.42;0.0;0.08;0.0;0.58;0.75;1.17;Cluster 0
1.0;2.0;1.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;-3.0;Cluster 2
1.0;11.0;0.0;3.0;0.0;1.0;2.0;0.5;8.0;8.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;11.0;Cluster 1
1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.75;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;Cluster 0
17.0;1.41;0.53;1.06;0.5;0.12;0.65;0.18;0.0;0.18;0.0;0.12;0.24;0.35;0.29;0.53;0.41;0.06;0.0;0.0;1.12;0.41;0.29;Cluster 2
3.0;1.33;0.67;2.33;0.29;0.0;0.0;0.0;0.0;0.67;0.0;0.33;1.0;1.33;0.0;0.33;0.67;0.33;0.0;0.0;0.67;0.33;0.0;Cluster 2
17.0;2.94;1.24;2.53;0.49;0.0;0.06;0.0;0.47;1.06;0.44;0.18;0.82;1.0;0.24;0.06;0.65;0.12;0.12;0.0;1.41;1.12;1.35;Cluster 0
14.0;2.29;0.07;0.5;0.14;0.57;1.71;0.33;0.43;0.43;1.0;0.07;0.93;1.0;1.0;0.57;0.86;0.0;0.0;0.0;1.07;0.43;1.79;Cluster 0
15.0;0.67;0.13;0.73;0.18;0.13;0.87;0.15;0.0;0.13;0.0;0.4;1.6;2.0;0.27;0.27;0.13;0.0;0.07;0.0;1.0;0.07;0.6;Cluster 2
6.0;2.17;0.33;1.33;0.25;0.17;0.5;0.33;1.0;1.5;0.67;0.0;0.33;0.33;0.17;0.33;0.83;0.17;0.17;0.0;1.83;1.17;-0.33;Cluster 0
5.0;0.0;0.0;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;1.4;0.0;0.0;0.0;0.8;0.4;-2.4;Cluster 2
21.0;2.62;1.1;1.86;0.59;0.0;0.0;0.0;0.43;0.67;0.64;0.62;0.86;1.48;0.14;0.19;0.48;0.0;0.0;0.0;1.48;0.76;2.24;Cluster 0
14.0;2.57;0.21;0.36;0.6;0.71;1.71;0.42;0.0;0.0;0.0;0.0;0.29;0.29;0.07;0.0;0.14;0.0;0.07;0.0;0.36;0.07;1.29;Cluster 2
7.0;0.86;0.43;1.29;0.33;0.0;0.14;0.0;0.0;0.0;0.0;0.29;0.57;0.86;0.14;0.14;0.86;0.14;0.14;0.0;1.29;0.29;-0.71;Cluster 2
17.0;1.29;0.59;1.24;0.48;0.0;0.0;0.0;0.12;0.18;0.67;0.35;0.53;0.88;0.35;0.24;0.29;0.12;0.06;0.0;0.71;0.29;1.47;Cluster 0
24.0;0.88;0.38;0.92;0.41;0.04;0.58;0.07;0.0;0.0;0.0;0.25;0.46;0.71;0.38;0.17;0.25;0.0;0.0;0.0;1.46;0.12;-0.54;Cluster 2
8.0;0.5;0.25;1.75;0.14;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.12;0.0;0.0;0.25;0.0;1.38;0.25;-1.25;Cluster 2
10.0;1.8;0.7;1.1;0.64;0.0;0.0;0.0;0.4;1.3;0.31;0.6;1.1;1.7;0.2;0.3;0.6;0.6;0.0;0.0;1.6;0.9;2.0;Cluster 0
21.0;1.86;0.76;1.95;0.39;0.0;0.0;0.0;0.33;0.57;0.58;0.38;0.86;1.24;0.0;0.29;1.0;0.0;0.14;0.0;1.71;0.43;-0.48;Cluster 0
19.0;0.79;0.32;1.05;0.3;0.0;0.0;0.0;0.16;0.32;0.5;0.53;1.21;1.74;0.0;0.16;0.37;0.05;0.11;0.0;0.68;0.47;1.16;Cluster 2
9.0;3.22;1.56;3.11;0.5;0.0;0.0;0.0;0.11;0.33;0.33;0.56;0.44;1.0;0.22;0.0;1.33;0.11;0.0;0.0;1.11;0.33;0.67;Cluster 2
17.0;2.41;1.06;1.71;0.62;0.0;0.0;0.0;0.29;0.35;0.83;0.88;1.18;2.06;0.18;0.35;0.65;0.24;0.06;0.0;1.41;0.35;2.76;Cluster 0
13.0;1.85;0.62;1.31;0.47;0.08;0.31;0.25;0.38;0.77;0.5;0.23;1.23;1.46;0.46;0.15;0.62;0.0;0.0;0.0;0.85;0.69;1.85;Cluster 0
