Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'FERNANDEZ LEON, PAULA';['VETUSTA OVIEDO'];25.0;20.24;5.32;1.92;4.08;0.47;0.08;0.44;0.18;1.24;2.24;0.55;0.64;0.8;1.44;0.88;0.88;1.08;0.0;0.48;0.0;1.8;2.28;3.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'FERNNDEZ VILLAMARN, LETICIA';['ENSINO YAYA MARIA'];15.0;5.2;0.6;0.0;0.53;0.0;0.2;0.67;0.3;0.0;0.13;0.0;0.73;0.53;1.27;0.07;0.27;0.4;0.0;0.07;0.0;0.67;0.33;0.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'FERRAGUT CASTILLO, MARINA';['ROS CASARES'];25.0;24.0;13.0;4.72;8.12;0.58;0.6;1.48;0.41;1.76;2.24;0.79;1.68;4.36;6.04;1.32;0.56;1.24;0.32;0.16;0.0;3.28;1.52;13.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GALLEGO VICARIO, SANDRA';['UNIVERSITAT DE BARCELONA'];26.0;28.27;15.12;3.85;6.42;0.6;1.88;4.38;0.43;1.77;2.15;0.82;0.35;1.65;2.0;2.27;1.81;1.58;0.0;0.15;0.0;2.85;2.31;13.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GARCIA FERNANDEZ, BELEN';['ENSINO YAYA MARIA'];24.0;17.12;5.21;1.58;3.42;0.46;0.33;1.08;0.31;1.04;1.38;0.76;0.46;1.5;1.96;0.92;1.04;1.04;0.08;0.04;0.0;2.04;1.42;4.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GARCIA PIERO, MARIA BEGOA';['ENSINO YAYA MARIA'];24.0;27.42;11.25;2.42;4.88;0.5;1.12;2.54;0.44;3.04;3.58;0.85;0.29;2.25;2.54;2.46;1.88;1.83;0.21;0.21;0.0;3.25;2.71;11.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GESTEIRA FERNANDEZ, LIDIA';['ROS CASARES'];23.0;14.04;4.7;0.87;1.22;0.71;0.78;2.61;0.3;0.61;0.65;0.93;0.3;1.04;1.35;1.09;1.39;0.57;0.13;0.0;0.0;1.83;0.96;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GILABERT AVANTE, MONTSERRAT';['CB.STA.ROSA DE LIMA HORTA'];2.0;17.0;5.0;1.0;1.5;0.67;0.0;1.5;0.0;3.0;3.0;1.0;0.5;1.0;1.5;0.5;1.0;0.5;0.0;0.0;0.0;1.5;2.5;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GILLON, JENNER';['SANDRA GRAN CANARIA'];7.0;37.0;20.14;6.86;12.43;0.55;1.14;3.43;0.33;3.0;4.14;0.72;2.57;7.71;10.29;0.29;1.57;2.0;0.14;0.29;0.0;3.0;4.86;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GOMEZ IGLESIAS, REGINA';['A.D. CORTEGADA'];25.0;15.52;4.36;0.96;3.24;0.3;0.52;1.84;0.28;0.88;1.32;0.67;0.32;1.08;1.4;0.44;0.72;1.32;0.0;0.04;0.0;1.32;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GOMEZ NOVO, MARIA ARANZAZU';['ENSINO YAYA MARIA'];20.0;14.45;2.7;0.75;2.3;0.33;0.15;1.0;0.15;0.75;1.25;0.6;0.3;1.65;1.95;0.8;1.65;0.85;0.0;0.5;0.0;1.85;1.2;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GOMEZ SANDO, GERTRUDIS';['UNIVERSITAT DE BARCELONA'];16.0;15.56;3.62;1.5;3.44;0.44;0.0;0.0;0.0;0.62;1.69;0.37;1.25;2.31;3.56;0.19;0.88;0.75;0.12;0.12;0.0;2.44;1.5;3.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GONZALEZ DIAZ, CARMEN';['VETUSTA OVIEDO'];21.0;28.62;11.48;2.05;4.1;0.5;1.43;4.67;0.31;3.1;4.71;0.66;0.43;1.43;1.86;1.48;1.52;2.29;0.0;0.43;0.0;2.29;3.57;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GONZALEZ LASHERAS, MARIA ELENA';['BASKET ZARAGOZA'];4.0;13.75;3.0;0.75;2.75;0.27;0.5;1.5;0.33;0.0;0.0;0.0;1.5;0.5;2.0;0.0;0.0;1.0;0.0;0.25;0.0;1.25;0.25;-0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GONZALEZ MANRIQUE, IRATXE';['B. CIUDAD DE BURGOS'];1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GONZALEZ ROMA, MARIA JARA';['A.D. CORTEGADA'];1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GRACIA PARDOS, M MERCEDES';['BASKET ZARAGOZA'];17.0;9.53;1.76;0.65;1.82;0.35;0.0;0.12;0.0;0.47;0.65;0.73;0.29;0.53;0.82;0.0;0.24;0.59;0.12;0.0;0.0;0.59;0.41;0.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'GRANDE FLORES, LAURA';['R.CLUB CELTA BANCO SIMEON'];8.0;23.62;5.75;2.38;6.0;0.4;0.0;0.25;0.0;1.0;1.5;0.67;0.25;2.12;2.38;1.38;1.75;1.25;0.0;0.25;0.0;1.25;1.12;5.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'HEAD, DENA NICOLE';['ROS CASARES'];3.0;18.0;5.67;1.67;3.33;0.5;0.0;1.67;0.0;2.33;3.0;0.78;0.67;1.0;1.67;0.67;0.67;1.33;0.0;0.0;0.0;2.33;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'HERNANDEZ ARENCIBIA, PATRICIA DEL PINO';['BASKET ZARAGOZA'];24.0;20.08;3.88;0.67;1.92;0.35;0.67;2.54;0.26;0.54;0.83;0.65;0.08;1.33;1.42;0.79;0.92;1.54;0.04;0.21;0.0;2.62;1.29;0.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
