Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,C.SM Reina Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,32,3,"10,67"
2024,C.SM Reina Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,10,1,10
2024,C.SM Reina Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,29,3,"9,67"
2024,C.SM Reina Final,"ERJAVEC, KARLA",SPAR GRAN CANARIA,9,1,9
2024,C.SM Reina Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,8,1,8
2024,C.SM Reina Final,"FIEBICH, LEONIE",VALENCIA B.C.,8,1,8
2024,C.SM Reina Final,"GRETTER, MELISA PAOLA",SPAR GRAN CANARIA,8,1,8
2024,C.SM Reina Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,8,1,8
2024,C.SM Reina Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,21,3,7
2024,C.SM Reina Final,"DODSON, MAYA ANNE CRISENCIA",LOINTEK GERNIKA BIZKAIA,7,1,7
2024,C.SM Reina Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,20,3,"6,67"
2024,C.SM Reina Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,4,2,2
2024,C.SM Reina Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,1,2
2024,C.SM Reina Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,5,3,"1,67"
2024,C.SM Reina Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,1,1
2024,C.SM Reina Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,2,2,1
2024,C.SM Reina Final,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,3,3,1
2024,C.SM Reina Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,2,2,1
2024,C.SM Reina Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,2,2,1
2024,C.SM Reina Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,4,2,2
2024,C.SM Reina Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,1,2
2024,C.SM Reina Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,5,3,"1,67"
2024,C.SM Reina Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,1,1
2024,C.SM Reina Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,2,2,1
2024,C.SM Reina Final,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,3,3,1
2024,C.SM Reina Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,2,2,1
2024,C.SM Reina Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,2,2,1
2024,C.SM Reina 1/2 Final,"BIBBY, CHLOE LOUISE",SPAR GIRONA,45,2,"22,5"
2024,C.SM Reina 1/2 Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,21,1,21
2024,C.SM Reina 1/2 Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,15,1,15
2024,C.SM Reina 1/2 Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,29,2,"14,5"
2024,C.SM Reina 1/2 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,27,2,"13,5"
2024,C.SM Reina 1/2 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,27,2,"13,5"
2024,C.SM Reina 1/2 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,27,2,"13,5"
2024,C.SM Reina 1/2 Final,"FAM THIAM, AWA",LOINTEK GERNIKA BIZKAIA,13,1,13
2024,C.SM Reina 1/2 Final,"IAGUPOVA, ALINA",VALENCIA B.C.,13,1,13
2024,C.SM Reina 1/2 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,13,1,13
2024,C.SM Reina 1/2 Final,"FASOULA, MARIA EMMANOUELA",PERFUMERIAS AVENIDA,25,2,"12,5"
2024,C.SM Reina 1/2 Final,"ETXARRI MUNARRIZ, IRATI",LOINTEK GERNIKA BIZKAIA,12,1,12
2024,C.SM Reina 1/2 Final,"WESTERIK, LAURA",LOINTEK GERNIKA BIZKAIA,12,1,12
2024,C.SM Reina 1/2 Final,"EZEIGBO, NNEKA CHIZOBA",SPAR GRAN CANARIA,12,1,12
2024,C.SM Reina 1/2 Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,23,2,"11,5"
2024,C.SM Reina 1/2 Final,"MACK, NATASHA NICOLE",SPAR GIRONA,23,2,"11,5"
2024,C.SM Reina 1/2 Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,23,2,"11,5"
2024,C.SM Reina 1/2 Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,22,2,11
2024,C.SM Reina 1/2 Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,22,2,11
2024,C.SM Reina 1/2 Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,22,2,11
2024,C.SM Reina 1/2 Final,"CHERY, KENDRA MARIE-CHRISTIANE",LOINTEK GERNIKA BIZKAIA,11,1,11
2024,C.SM Reina 1/2 Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,10,1,10
2024,C.SM Reina 1/2 Final,"ERJAVEC, KARLA",SPAR GRAN CANARIA,9,1,9
2024,C.SM Reina 1/2 Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,8,1,8
2024,C.SM Reina 1/2 Final,"FIEBICH, LEONIE",VALENCIA B.C.,8,1,8
2024,C.SM Reina 1/2 Final,"GRETTER, MELISA PAOLA",SPAR GRAN CANARIA,8,1,8
2024,C.SM Reina 1/2 Final,"ALONSO DE ARMIÑO RIAÑO, GRACIA",MOVISTAR ESTUDIANTES,8,1,8
2024,C.SM Reina 1/2 Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,15,2,"7,5"
2024,C.SM Reina 1/2 Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,15,2,"7,5"
2024,C.SM Reina 1/2 Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,15,2,"7,5"
2024,C.SM Reina 1/2 Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,2,1,2
2024,C.SM Reina 1/2 Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,4,2,2
2024,C.SM Reina 1/2 Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,4,2,2
2024,C.SM Reina 1/2 Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,2,2,1
2024,C.SM Reina 1/2 Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,1,1,1
2024,C.SM Reina 1/2 Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,2,2,1
