Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
ALONSO GARCIA, ANGELA;2012;BEROIL - CIUDAD DE BURGOS;2.0;1.55;1.5;0.0;0.5;0.0;0.5;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5
GARCIA LOPEZ, PAULA;2015;STAR CENTER-UNI FERROL;2.0;1.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;-0.5
VILLAR DEZA, DANNA;2015;STAR CENTER-UNI FERROL;2.0;1.55;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;-1.5
SANZ MAZON, MARTA;2016;C.B. AL-QÁZERES EXTREMADURA;4.0;1.54;0.75;0.0;0.0;0.0;0.25;0.25;1.0;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.75;0.0;0.5
PESANTE, ROMINA ANTONELA;2008;EBE IBIZA-PDV;1.0;1.53;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;-2.0
ARROYO CARRASCO, CARMEN;2015;C.B. CONQUERO HUELVA WAGEN;3.0;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BEDIA DELGADO, IZAR;2017;LACTURALE ART ARASKI;1.0;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RUIZ AZKUE, JUNE;2021;LOINTEK GERNIKA BIZKAIA;1.0;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BALDONEDO VILA, ELENA;2024;BAXI FERROL;1.0;1.53;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;1.0
KMETOVSKA, IVANA;2017;QUESOS EL PASTOR;1.0;1.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
VILLAMOR APARICIO, CRISTINA;2018;MANN-FILTER CASABLANCA;1.0;1.52;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
---, RAQUEL RODRIGUEZ VIGUERA;2001;BALONCESTO CIUDAD DE BURGOS;2.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DAZ ROBLES, ROSA;2001;ANDALUCIA - AIFOS;6.0;1.5;0.33;0.17;0.5;0.33;0.0;0.17;0.0;0.0;0.0;0.0;0.17;0.0;0.17;0.0;0.0;0.17;0.0;0.17;0.0;0.67;0.0;-1.0
NAVA ANGUIS, CARMEN;2001;ANDALUCIA - AIFOS;4.0;1.5;0.5;0.25;0.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;1.0
---, JESSICA MOURIZ FERNANDEZ;2002;YAYA MARIA BREOGAN;2.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;-0.5
MARCOS BENITO, BLANCA;2002;PERFUMERIAS AVENIDA;2.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.5
FRANCO BUENO, ISABEL;2007;CLUB BALONCESTO SAN JOSE;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0
ARGENTE GARRIDO, GLORIA MARA;2006;CIUDAD ROS CASARES VALENCIA;1.0;1.48;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
MTZ. DE ALEGRIA ARRUE, MARIA;2016;LACTURALE ARASKI;2.0;1.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TORCAL BARBA, ROCIO;2010;MANN FILTER ZARAGOZA;2.0;1.47;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;-1.5
MATEOS GARCIA, NURIA;2013;ALIMENTOS DE ZAMORA;7.0;1.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29;0.0;0.0;0.29;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.29;0.14;-0.14
OCURTO MENDES, MAYTE ELIZMA;2023;SPAR GRAN CANARIA;1.0;1.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0
MARIN OTO, MARTA;2006;MANN FILTER ZARAGOZA;1.0;1.45;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
REQUEJO GARCA, CRISTINA;2020;CAMPUS PROMETE;1.0;1.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0
PEREZ GUILLEN, MARIA ISABEL;2006;MANN FILTER ZARAGOZA;4.0;1.44;1.0;0.0;0.0;0.0;0.25;0.75;0.33;0.25;0.5;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1.0
PEREZ GUILLEN, MARIA ISABEL;2007;MANN FILTER ZARAGOZA;3.0;1.42;0.67;0.33;0.67;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33
RALUY ESPADA, NEREA;2014;C.B. CONQUERO HUELVA WAGEN;10.0;1.42;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.2;0.4;0.2;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.4
PAIRO URTOS, JANINA;2016;SPAR CITYLIFT GIRONA;2.0;1.42;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.5
SERRA PASTELLS, MARINA;2016;SPAR CITYLIFT GIRONA;2.0;1.42;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;-1.0
PERMUY GOMEZ, CARMELA;2023;BAXI FERROL;2.0;1.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0
MARTNEZ SNCHEZ, ALMUDENA;2018;NISSAN  AL-QÁZERES EXTREMADURA;1.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VALIENTE MARN, MARIA DE FATIMA;2018;NISSAN  AL-QÁZERES EXTREMADURA;1.0;1.4;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LOZANO DAVILA, ALBA;2020;CAMPUS PROMETE;9.0;1.4;0.33;0.0;0.33;0.0;0.11;0.33;0.33;0.0;0.0;0.0;0.22;0.0;0.22;0.0;0.0;0.11;0.0;0.0;0.0;0.11;0.0;-0.22
ROSELL DRONDA, IRENE;2004;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;1.0;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
RUIZ DE ASSN AYBAR, BLANCA;2014;RIVAS ECOPOLIS;1.0;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
MARTIN RODRIGUEZ, ESTER;2016;QUESOS EL PASTOR;2.0;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANGEL VILLEN, DAVINIA;2021;CAMPUS PROMETE;15.0;1.38;0.27;0.13;0.2;0.67;0.0;0.2;0.0;0.0;0.0;0.0;0.07;0.2;0.27;0.0;0.07;0.0;0.0;0.0;0.0;0.33;0.0;0.0
LOPEZ TOBI, IHO;2024;SPAR GRAN CANARIA;1.0;1.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0
GARCIA ROZAS, SHEILA;1999;BALONCESTO ALCALA;12.0;1.33;0.42;0.17;0.25;0.67;0.0;0.0;0.0;0.08;0.17;0.5;0.08;0.08;0.17;0.08;0.08;0.0;0.0;0.0;0.0;0.25;0.17;0.5
SAHAGUN BERNAL, ESTEFANIA;2020;QUESOS EL PASTOR;1.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CABRERA ARGUELLO, PATRICIA;2008;GRAN CANARIA LA CAJA DE CANARIAS;1.0;1.32;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.0
GONZALEZ VALDAYO, BELEN;2018;SPAR CITYLIFT GIRONA;2.0;1.32;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HOYUELOS ALDEA, PAULA;2020;DURAN MAQUINARIA ENSINO;3.0;1.31;1.33;0.33;0.33;1.0;0.0;0.0;0.0;0.67;0.67;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.33;1.33
PREZ FERNNDEZ, IRENE BEATRIZ;2021;CAMPUS PROMETE;8.0;1.3;0.0;0.0;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.12;0.12;0.12;0.25;0.0;0.0;0.0;0.0;0.0;0.0
GARCIA SAN BLAS, AINARA;2024;SPAR GRAN CANARIA;1.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MOLINA DOMINGO, CYNTHIA;2012;SPAR UNIGIRONA;1.0;1.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MARTINEZ FLOREZ, SANDRA;2009;PERFUMERIAS AVENIDA;1.0;1.27;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
ALBERDI LARRUCEA, MARTA;2019;LOINTEK GERNIKA BIZKAIA;1.0;1.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BACALLADO SASTRE, LIDIA;2021;TENERIFE;1.0;1.25;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0
MUOZ ROMERO, ESTHER;1997;TONY ROMA´S REAL CANOE NC;17.0;1.24;0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.24;0.24;1.0;0.0;0.0;0.0;0.0;0.06;0.06;0.0;0.0;0.0;0.06;0.12;0.29
BARAUT GRAU, CLAUDIA;2011;CADI LA SEU D´URGELL;5.0;1.24;0.8;0.4;0.6;0.67;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
CHUMILLAS PERIS, BERTA;2007;CIUDAD ROS CASARES VALENCIA;1.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FERNANDEZ HERRERO, LUCIA;2008;RIVAS ECÓPOLIS;2.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BRAVO BOCETA, TAMARA;2009;HONDARRIBIA - IRÚN;3.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PEREZ GUILLEN, MARIA ISABEL;2009;MANN FILTER ZARAGOZA;2.0;1.23;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;-1.5
CEREIJO MARTINEZ, SANDRA;2012;C.B. BEMBIBRE PDM;4.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GARCIA GARCIA, PAULA;2020;VALENCIA B.C.;1.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GARCIA BLACKWOOD, DOMINIQUE;2021;SPAR GRAN CANARIA;3.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0;0.33;0.0;0.0
HAIDARA, MAIMOUNA;2021;TENERIFE;1.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0
LLAVERO SANCHEZ, DANIELA;2024;SPAR GRAN CANARIA;2.0;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MERINO CHAMON, MARIA;1999;FEMENINO TRES CANTOS;9.0;1.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11;0.11;0.0;0.11;0.11;0.0;0.0;0.0;0.33;0.0;-0.22
ARGENTE GARRIDO, GLORIA MARA;2005;ROS CASARES VALENCIA;1.0;1.22;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-2.0
COMELLA PONS, PILAR;2012;SPAR UNIGIRONA;1.0;1.22;2.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0
GARCA PRIETO, MIRIAM;2017;NISSAN  AL-QÁZERES EXTREMADURA;1.0;1.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BENITO DZ, ELENA;2024;PERFUMERIAS AVENIDA;1.0;1.22;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MANIVESA DOPICO, MARTA;2015;EMBUTIDOS PAJARIEL BEMBIBRE PDM;5.0;1.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;-0.2
GONZALEZ MANRIQUE, IRATXE;1998;CIUDAD DE BURGOS;5.0;1.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.4;0.5;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.6;0.2
BARRIOS PEINADO, NATALIA;1999;B. CIUDAD DE BURGOS;10.0;1.2;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.2;0.5;0.1;0.1;0.2;0.0;0.1;0.3;0.0;0.1;0.0;0.0;0.2;0.0
JOU COLL, CARLA;2010;GIRONA FC;1.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALVARADO FALCON, DAIZA MARTA;1998;SANDRA GRAN CANARIA;6.0;1.17;0.67;0.17;0.17;1.0;0.0;0.33;0.0;0.33;0.33;1.0;0.0;0.17;0.17;0.33;0.17;0.33;0.0;0.0;0.0;0.17;0.17;0.67
DAZ MAYORDOMO, MARINA;2017;NISSAN  AL-QÁZERES EXTREMADURA;1.0;1.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
FARFAN DE LOS GODOS PIERA, LAURA;2005;CADI LA SEU D´URGELL;1.0;1.15;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-2.0
GONZALEZ OGANDO, ALBA;2012;C.B. BEMBIBRE PDM;4.0;1.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;-0.25
RALUY ESPADA, NEREA;2013;CLUB BALONCESTO CONQUERO;6.0;1.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17
ORTIZ DE ZARATE BRAVO, MARINA;2023;KUTXABANK ARASKI;2.0;1.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MARTN CORRALES, CRISTINA;2017;NISSAN  AL-QÁZERES EXTREMADURA;1.0;1.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
HISADO SANTOS, SIRA;2020;ALTER ENERSUN AL-QÁZERES EXTREMADURA;3.0;1.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33
INSAURRIAGA PONCE, ANA;2010;RIVAS ECOPOLIS;1.0;1.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARROYO CARRASCO, CARMEN;2014;C.B. CONQUERO HUELVA WAGEN;1.0;1.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MURUA TXINTXURRETA, IRENE;2019;RPK ARASKI;1.0;1.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
MARTINEZ FLOREZ, SANDRA;2010;PERFUMERIAS AVENIDA;2.0;1.11;1.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0
INSAURRIAGA PONCE, ANA;2009;RIVAS ECOPOLIS;1.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GONZALEZ CENTENO, MARIA;2010;RC CELTA INDEPO;2.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.5
SANCHEZ FUENTES, VERONICA;2009;ARGÓN UNI GIRONA;2.0;1.09;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.5
CEREIJO MARTINEZ, SANDRA;2013;EMBUTIDOS PAJARIEL BEMBIBRE PDM;2.0;1.08;1.0;0.5;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
GARCIA LOPEZ, PAULA;2018;BAXI FERROL;1.0;1.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0
NAVARRETE TRUJILLO, MIREIA;1998;CELTA BANCO SIMEON;16.0;1.06;0.44;0.06;0.25;0.25;0.06;0.06;1.0;0.12;0.12;1.0;0.0;0.06;0.06;0.0;0.0;0.06;0.0;0.0;0.0;0.25;0.19;0.19
MARTIN RODRIGUEZ, ESTER;2017;QUESOS EL PASTOR;4.0;1.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;-0.25
LPEZ TALLN, NOA;2024;DURÁN MAQUINARIA ENSINO;2.0;1.05;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.5
FARFAN DE LOS GODOS PIERA, LAURA;2008;CADI LA SEU D´URGELL;2.0;1.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5
GODOY DE SANTA ANA, LUCIA;2022;SPAR GRAN CANARIA;2.0;1.03;1.0;0.5;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5
ECHEVERRIA RIBERA, AMAIA;2008;HONDARRIBIA - IRÚN;4.0;1.02;0.0;0.0;0.25;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;-0.25
BANEGAS GALIANO, SANDRA;2011;PALACIO DE CONGRESOS DE IBIZA;2.0;1.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5
RUBIO ALEJANDRE, IRENE;2021;CASADEMONT ZARAGOZA;1.0;1.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
BOLIVAR RIGO, MIRIAM;2009;SOLLER JOVENTUT MARIANA;5.0;1.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;-0.2
PESQUERO POVEDA, AFRICA;1997;POOL GETAFE;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.5;0.0;-0.75
ROMAN PARDO, ELENA;1998;POPULAR BASQUET GODELLA;4.0;1.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BARCELO MOLINA, VANESSA;1999;POPULAR BASQUET GODELLA;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GARCIA ORTEGA, TATIANA;1999;POPULAR BASQUET GODELLA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GONZALEZ BUESO, MARIA;1999;POPULAR BASQUET GODELLA;3.0;1.0;0.0;0.0;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.33;0.67;0.33;0.33;0.0;0.0;0.0;0.0;0.0;0.0;1.0
MARTINEZ DIEZ, BEGOA;1999;A.D.UNIVERSIDAD DE OVIEDO;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;-1.5
MEDRANO GARCIA, M DEL MAR;1999;POPULAR BASQUET GODELLA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RODRIGUEZ PANIAGUA, CARMEN MARIA;1999;A.D.UNIVERSIDAD DE OVIEDO;2.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;1.0
