Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
SOMOGYI, ANDREA;2010;PALACIO DE CONGRESOS DE IBIZA;8.0;7.69;2.0;0.62;1.25;0.5;0.25;0.88;0.29;0.0;0.0;0.0;0.12;0.88;1.0;0.25;0.38;0.0;0.0;0.0;0.0;0.38;0.0;2.0
HINRIKSDTTIR, SARA RN;2023;CADI LA SEU;10.0;7.69;2.8;0.4;1.3;0.31;0.5;1.3;0.38;0.5;0.6;0.83;0.4;0.6;1.0;0.5;0.3;0.9;0.1;0.0;0.0;0.8;0.5;1.7
SUAREZ UTRERO, ANA MARIA;2005;MANN FILTER ZARAGOZA;17.0;7.68;1.88;0.47;0.94;0.5;0.29;0.94;0.31;0.06;0.12;0.5;0.24;0.53;0.76;0.18;0.41;1.18;0.06;0.12;0.0;1.0;0.71;0.53
VARAS GARCIA, DAIRA;2011;CAJA RURAL TINTOS DE TORO;25.0;7.66;1.12;0.4;1.32;0.3;0.0;0.0;0.0;0.32;0.48;0.67;0.68;0.84;1.52;0.12;0.0;0.12;0.12;0.0;0.0;0.52;0.4;1.56
HERNANDEZ ESTEBAN, SILVIA;1997;TONY ROMA´S REAL CANOE NC;20.0;7.65;1.9;0.3;0.45;0.67;0.25;0.55;0.45;0.55;0.9;0.61;0.25;0.5;0.75;0.9;0.3;0.5;0.05;0.0;0.0;0.95;0.45;2.1
MOYA BLANCH, LAIA;2022;EMBUTIDOS PAJARIEL BEMBIBRE PDM;26.0;7.63;1.42;0.42;0.73;0.58;0.15;0.73;0.21;0.12;0.15;0.75;0.15;0.65;0.81;0.23;0.23;0.5;0.04;0.0;0.0;1.0;0.31;0.62
OJEDA BERNAL, CARLA;2023;SPAR GRAN CANARIA;16.0;7.63;1.75;0.69;1.38;0.5;0.0;0.0;0.0;0.38;0.38;1.0;0.31;1.12;1.44;0.5;0.38;0.44;0.0;0.12;0.0;1.31;0.5;2.12
BARGALLO DIAZ, MIREIA;2000;UNIVERSITAT DE BARCELONA;16.0;7.62;2.25;1.0;1.75;0.57;0.0;0.0;0.0;0.25;0.5;0.5;0.56;0.75;1.31;0.19;0.12;0.5;0.06;0.06;0.0;1.38;0.5;1.5
MORIANA NADAL, PALOMA;1998;SANDRA GRAN CANARIA;25.0;7.6;2.36;0.4;0.68;0.59;0.08;0.52;0.15;1.32;2.24;0.59;0.12;0.52;0.64;0.36;0.36;0.72;0.0;0.16;0.0;1.12;1.48;1.56
HRYMALIUK, VIRA;2022;SPAR GRAN CANARIA;12.0;7.6;1.08;0.33;0.75;0.44;0.0;0.42;0.0;0.42;0.5;0.83;0.25;0.5;0.75;0.33;0.17;0.42;0.0;0.0;0.0;0.75;0.33;0.58
LIMA GARCIA, CINDY ORQUIDEA;1998;BARCELONA BC UNIVERSITARI;24.0;7.58;2.38;1.08;1.38;0.79;0.0;0.0;0.0;0.21;0.54;0.38;0.71;0.96;1.67;0.04;0.54;0.46;0.29;0.0;0.0;1.46;0.5;2.88
CHRISTINAKI, ELEANNA;2018;LOINTEK GERNIKA BIZKAIA;7.0;7.57;2.86;0.86;1.71;0.5;0.29;1.0;0.29;0.29;0.29;1.0;0.29;0.14;0.43;0.29;0.29;0.43;0.0;0.0;0.0;0.71;0.43;1.57
NDOYE, BINETA;2014;GRAN CANARIA 2014;21.0;7.55;1.67;0.62;1.76;0.35;0.0;0.0;0.0;0.43;0.48;0.9;1.0;1.38;2.38;0.05;0.0;0.62;0.52;0.14;0.0;1.0;0.48;2.14
RIVERES ESPARZA, PATRICIA;2002;FILTROS MANN ZARAGOZA;13.0;7.54;2.23;0.77;1.69;0.45;0.0;0.0;0.0;0.69;1.08;0.64;0.31;0.69;1.0;0.0;0.31;1.46;0.0;0.23;0.0;1.38;0.77;-0.08
TOURE, LALA;2024;SPAR GRAN CANARIA;1.0;7.53;2.0;1.0;3.0;0.33;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
LLOBERA BANQUE, ADRIANA;2010;C.B. OLESA;1.0;7.52;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;-3.0
ROYO TORRES, BEATRIZ;2014;MANN-FILTER;20.0;7.51;1.25;0.3;0.7;0.43;0.2;0.9;0.22;0.05;0.1;0.5;0.25;0.75;1.0;0.2;0.35;0.45;0.05;0.1;0.0;0.8;0.05;0.4
DEZ FERNNDEZ, COVADONGA;1997;FEMENINO TRES CANTOS;20.0;7.5;1.35;0.6;1.45;0.41;0.0;0.0;0.0;0.15;0.2;0.75;0.2;0.3;0.5;0.05;0.15;0.45;0.1;0.05;0.0;0.9;0.3;0.15
RODRIGUEZ PANIAGUA, CARMEN MARIA;2001;UNIVERSIDAD DE OVIEDO;4.0;7.5;1.5;0.25;0.75;0.33;0.25;0.5;0.5;0.25;0.5;0.5;0.25;0.5;0.75;0.0;0.75;1.0;0.0;0.0;0.0;0.5;1.0;1.5
GONZALEZ DUARTE, LARA;2013;GIPUZKOA UPV;13.0;7.5;0.92;0.31;0.77;0.4;0.08;0.54;0.14;0.08;0.15;0.5;0.15;0.23;0.38;0.23;0.38;0.77;0.08;0.08;0.0;0.69;0.31;-0.23
VILA CONCEPCION, CARMEN;2022;TENERIFE;12.0;7.49;1.0;0.0;0.33;0.0;0.33;0.83;0.4;0.0;0.0;0.0;0.17;0.42;0.58;0.25;0.33;0.33;0.0;0.0;0.0;0.67;0.08;0.42
SANCHEZ GONZALEZ, SARA MARIA;2021;INNOVA-TSN LEGANÉS;14.0;7.48;0.86;0.21;0.36;0.6;0.14;0.79;0.18;0.0;0.0;0.0;0.21;0.43;0.64;0.57;0.36;0.79;0.07;0.0;0.0;1.36;0.14;-0.29
IPARRAGUIRRE ALUSTIZA, SARA;2016;IDK GIPUZKOA;17.0;7.47;1.47;0.35;1.0;0.35;0.06;0.71;0.08;0.59;0.82;0.71;0.12;0.47;0.59;0.24;0.59;0.53;0.0;0.0;0.0;0.65;0.71;0.88
VIDAL ACUA, SARA;2024;CELTA  FEMXA ZORKA;19.0;7.47;1.63;0.37;1.11;0.33;0.26;0.58;0.45;0.11;0.11;1.0;0.11;0.58;0.68;0.37;0.37;0.42;0.0;0.0;0.0;1.74;0.21;0.05
GILABERT AVANTE, MONTSERRAT;2007;CADI LA SEU D´URGELL;17.0;7.44;1.41;0.29;0.71;0.42;0.18;1.06;0.17;0.29;0.53;0.56;0.18;0.35;0.53;0.18;0.53;0.59;0.0;0.0;0.0;1.12;0.65;0.06
VELASCO MARTIN, LAURA;2017;MOVISTAR ESTUDIANTES;18.0;7.44;0.94;0.17;0.67;0.25;0.11;0.67;0.17;0.28;0.44;0.62;0.06;0.5;0.56;0.44;0.28;0.39;0.0;0.0;0.0;0.33;0.61;0.89
